unit_id,domain_id,indicator,weight
222300001,W06000001,NA,NA
222300002,W06000001,NA,NA
222300003,W06000001,NA,NA
222300004,W06000001,NA,NA
222300005,W06000001,NA,NA
222300006,W06000001,1,688.3261502977377
222300007,W06000001,0,506.6617748335814
222300008,W06000001,1,1087.2067175516402
222300009,W06000001,NA,NA
222300010,W06000001,NA,NA
222300011,W06000001,0,794.4740086340298
222300012,W06000001,NA,NA
222300013,W06000001,NA,NA
222300014,W06000001,NA,NA
222300015,W06000001,NA,NA
222300016,W06000001,NA,NA
222300017,W06000001,0,344.16307514886887
222300018,W06000001,NA,NA
222300019,W06000001,NA,NA
222300020,W06000001,NA,NA
222300021,W06000001,1,1204.1365601781893
222300022,W06000001,NA,NA
222300023,W06000001,NA,NA
222300024,W06000001,NA,NA
222300025,W06000001,NA,NA
222300026,W06000001,NA,NA
222300027,W06000001,NA,NA
222300028,W06000001,NA,NA
222300029,W06000001,NA,NA
222300030,W06000001,NA,NA
222300031,W06000001,NA,NA
222300032,W06000001,NA,NA
222300033,W06000001,NA,NA
222300034,W06000001,NA,NA
222300035,W06000001,NA,NA
222300036,W06000001,NA,NA
222300037,W06000001,NA,NA
222300038,W06000001,NA,NA
222300039,W06000001,NA,NA
222300040,W06000001,NA,NA
222300041,W06000001,NA,NA
222300042,W06000001,NA,NA
222300043,W06000001,1,582.2559320114533
222300044,W06000001,NA,NA
222300045,W06000001,NA,NA
222300046,W06000001,NA,NA
222300047,W06000001,0,506.6617748335814
222300048,W06000001,NA,NA
222300049,W06000001,NA,NA
222300050,W06000001,NA,NA
222300051,W06000001,NA,NA
222300052,W06000001,NA,NA
222300053,W06000001,NA,NA
222300054,W06000001,1,488.43358489314033
222300055,W06000001,NA,NA
222300056,W06000001,0,914.3867250929492
222300057,W06000001,1,1151.176459050682
222300058,W06000001,NA,NA
222300059,W06000001,NA,NA
222300060,W06000001,NA,NA
222300061,W06000001,NA,NA
222300062,W06000001,NA,NA
222300063,W06000001,0,985.0576265244775
222300064,W06000001,NA,NA
222300065,W06000001,0,1282.1130504825935
222300066,W06000001,NA,NA
222300067,W06000001,1,685.0069788370038
222300068,W06000001,NA,NA
222300069,W06000001,NA,NA
222300070,W06000001,NA,NA
222300071,W06000001,NA,NA
222300072,W06000001,NA,NA
222300073,W06000001,NA,NA
222300074,W06000001,NA,NA
222300075,W06000001,NA,NA
222300076,W06000001,NA,NA
222300077,W06000001,NA,NA
222300078,W06000001,0,1445.3941101269797
222300079,W06000001,NA,NA
222300080,W06000001,NA,NA
222300081,W06000001,NA,NA
222300082,W06000001,0,481.7980367089915
222300083,W06000001,NA,NA
222300084,W06000001,NA,NA
222300085,W06000001,NA,NA
222300086,W06000001,1,1029.9999896769255
222300087,W06000001,NA,NA
222300088,W06000001,NA,NA
222300089,W06000001,NA,NA
222300090,W06000001,NA,NA
222300091,W06000001,NA,NA
