domain_id,benchmark_commute_distance,direct_estimate,direct_ci_lower,direct_ci_upper,direct_ci_width,fh_estimate,fh_ci_lower,fh_ci_upper,fh_ci_width,spatial_fh_estimate,spatial_fh_ci_lower,spatial_fh_ci_upper,spatial_fh_ci_width
W02000001,12.233856228057554,9.699559223900941,4.601025849044644,14.798092598757238,10.197066749712594,9.832889291582543,6.430110605078211,13.421648062513027,6.991537457434816,9.812709532841724,5.969846667260598,13.662766915367108,7.6929202481065095
W02000002,12.717002333962265,11.21454430158621,8.559041730421487,13.870046872750933,5.311005142329446,10.90613532304437,8.935802378262245,13.280498715832294,4.344696337570049,11.004197340756829,8.742957401444087,13.235908408939283,4.492951007495195
W02000003,9.949801455696202,10.648435017435165,5.259962641418723,16.036907393451607,10.776944752032882,10.152540386304164,6.313980228223628,13.97682582364804,7.662845595424412,10.165160803712116,6.494974839453501,14.358134594655859,7.863159755202357
W02000004,11.411980381374129,NA,NA,NA,NA,9.832580666642043,4.353101069426113,15.647319173741927,11.294218104315814,10.24511207249601,4.098721408214118,16.640444402897383,12.541722994683266
W02000005,10.20186677182646,25.326153818971456,5.644334840384751,45.00797279755816,39.36363795717341,10.559611833977572,4.898801385801171,16.941472514739452,12.04267112893828,10.675943873030903,4.767668794533423,16.43372405017149,11.666055255638069
W02000006,8.128392950420954,35.13199730396155,-9.912888712554171,80.17688332047726,90.08977203303144,9.93126665487374,4.661870776431865,15.095564559315125,10.43369378288326,10.200460784112808,4.105371717733918,15.199658310794657,11.094286593060739
W02000007,11.182409039645279,9.908801933204273,5.661433273871014,14.156170592537533,8.49473731866652,9.636442539488682,6.1321761040068,12.870571256630349,6.738395152623549,9.71247445303441,6.733355873414801,12.553226157903916,5.819870284489115
W02000008,8.64557034608541,14.8734014897587,6.8338730382990995,22.9129299412183,16.079056902919202,10.745999096360878,6.141305515801429,15.459469303110438,9.31816378730901,11.73958911103677,6.376307893683871,17.016234124156437,10.639926230472566
W02000009,9.543121215860086,4.8121675428309,2.1770106221267294,7.44732446353507,5.27031384140834,5.682337930008863,3.251509703675305,8.343041566890733,5.091531863215428,5.860504982305064,3.4063684723789134,8.040892465496084,4.6345239931171704
W02000010,11.092810576251456,6.603529739166287,4.018011394533195,9.18904808379938,5.1710366892661845,6.959476926071703,4.719170489857429,9.050219381555047,4.331048891697618,6.773330711879498,4.1141269872429564,9.060756472760126,4.946629485517169
