domain_id,cov_pop_density,cov_share_work_home,cov_share_hh_withcar,cov_share_detached,cov_share_higher_managerial
W02000001,-0.7376706800625283,-0.49190803432835994,0.6341210992003975,1.047477168867737,-0.4460414781637474
W02000002,-0.7425955761014569,0.6547155999772916,1.0655298710504482,2.244159794396693,0.2707314060426003
W02000003,0.3972893823519929,-1.4675665375584526,-1.4390359627734837,-0.66359301499912,-1.2677414410114405
W02000004,-0.719189626885518,-0.17994042662410614,1.1042993880728813,1.7396821056833278,-0.1851578266304684
W02000005,-0.7187834498926168,0.4064894234640385,0.9280165162701389,1.4671501870888841,0.8423492336171139
W02000006,-0.6921788568575801,-0.8766115574974157,0.20505847075350714,0.6004034433001869,-0.48066522234638814
W02000007,-0.7347766689881063,-0.29720581782327987,0.9804034312718883,0.9263744946737291,-0.23367226443727818
W02000008,-0.3474361341325824,-0.13684929338991295,0.5917755064864714,0.8174201647350828,0.8097890812848237
W02000009,-0.7411739566263021,0.16808597247316037,1.2077753433536467,1.2690337655463997,0.26080089251111344
W02000010,0.810422156256751,-0.4177171747651048,-2.190014990325996,-1.0342065948394419,-1.1941069828982476
W02000011,-0.12718665973184007,-0.7409356007990924,-0.39431208924409467,-0.36780955968723045,0.1003685219346695
W02000012,-0.7328473282718251,-0.18972166762791437,0.43408725290104216,-0.12517377501057836,0.08522375203228356
W02000013,-0.6649142262090789,-0.01860635988364419,0.9832918303155406,0.2535736271587276,0.6972795486923392
W02000014,-0.7327457840235997,-0.08941358252836153,0.7385607295720137,0.4084531257702778,0.35385391979488534
W02000015,-0.06986493160864096,-0.656247226612999,-0.7058209268307852,-0.46037981587073734,-0.29086023722160276
W02000016,-0.730257949942079,-0.06344037624968801,0.35601824896063883,0.49455577245176274,0.16829599742935497
W02000017,-0.737112186697289,-0.2776303523311698,0.6854311859116818,0.37711618423290744,-0.2588397848193421
W02000018,-0.7552378350055104,-0.6859124597655939,-0.15130730792283015,-0.37975416741631557,-0.7071975631862472
W02000019,-0.7550855186331725,-0.311592119022764,0.28786801834386155,0.4609003063754663,-0.223903144481799
W02000020,-0.7459973084170054,-0.06602466010822854,0.8539571101565518,0.9857173491323797,-0.2026351338348622
W02000021,-0.7180218680309268,-0.5011445651455553,0.10205972596973836,0.274310845861308,-0.505771480259111
W02000022,-0.7537654434062433,0.028106629821818697,0.617488566414798,1.0172816939333154,-0.16235819317684277
W02000023,-0.7528515451722152,0.9545990631423115,1.1408029568160662,1.980520616190025,0.04096686740658249
W02000024,-0.7643768173457902,0.7206283020621812,0.6402414163488813,0.8800434087780663,-0.3003953813581983
W02000025,-0.7569640872253411,-0.09251804761938628,-0.16988905299997936,0.3773566955042206,-0.17130386262513886
W02000026,-0.7565579102324398,0.06973976908313166,0.24435335241494266,0.7376570174413244,-0.15579127523485206
W02000027,-0.12936986106868464,0.01257775731298992,-1.8677565691615596,-1.0006111502962738,-0.3145728621430452
W02000028,-0.07341898029652753,-1.0458236254130633,-0.7532327746230519,-0.07425544535445747,-0.28917078213536057
